codarea,municipio,total_doses,doses_aplicadas,porcentagem
2207751,Passagem Franca do Piauí,2892,2510,86.8
2207777,Patos do Piauí,4564,4384,96.1
2207793,Pau D'Arco do Piauí,2130,1898,89.1
2207801,Paulistana,14428,12612,87.4
2207850,Pavussu,2595,2326,89.6
2207900,Pedro II,26861,23979,89.3
2207934,Pedro Laurentino,1878,1711,91.1
2208007,Picos,50595,46718,92.3
2208106,Pimenteiras,7816,6915,88.5
2208205,Pio IX,10083,10441,100
2208304,Piracuruca,19215,15563,81.0
2208403,Piripiri,49402,39420,79.8
2208502,Porto,7220,6512,90.2
2208551,Porto Alegre do Piauí,1667,1500,90.0
2208601,Prata do Piauí,2927,2845,97.2
2208650,Queimada Nova,6470,5908,91.3
2208700,Redenção do Gurguéia,5305,4111,77.5
2208809,Regeneração,11956,9499,79.4
2208858,Riacho Frio,2617,2241,85.6
2208874,Ribeira do Piauí,2639,2565,97.2
2208908,Ribeiro Gonçalves,4356,3434,78.8
2209005,Rio Grande do Piauí,4338,3998,92.2
2209104,Santa Cruz do Piauí,4643,4449,95.8
2209153,Santa Cruz dos Milagres,0,2323,0
2209203,Santa Filomena,3696,3549,96.0
2209302,Santa Luz,3498,3582,100
2209377,Santa Rosa do Piauí,3592,3502,97.5
2209351,Santana do Piauí,2849,2352,82.6
2209401,Santo Antônio de Lisboa,4662,4420,94.8
2209450,Santo Antônio dos Milagres,1706,1783,100
2209500,Santo Inácio do Piauí,2759,2761,100
2209559,São Braz do Piauí,2877,2593,90.1
2209609,São Félix do Piauí,2561,2647,100
2209658,São Francisco de Assis do Piauí,3539,3701,100
2209708,São Francisco do Piauí,4209,4053,96.3
2209757,São Gonçalo do Gurguéia,4078,1713,42.0
2209807,São Gonçalo do Piauí,3499,3260,93.2
2209856,São João da Canabrava,3120,2834,90.8
2209872,São João da Fronteira,3875,2468,63.7
2209906,São João da Serra,4914,4186,85.2
2209955,São João da Varjota,4123,4338,100
2209971,São João do Arraial,4489,3895,86.8
2210003,São João do Piauí,15865,15808,99.6
2210052,São José do Divino,3625,3620,99.9
2210102,São José do Peixe,2382,1530,64.2
2210201,São José do Piauí,4982,4521,90.7
2210300,São Julião,4427,4495,100
2210359,São Lourenço do Piauí,3831,3959,100
2210375,São Luis do Piauí,1681,1307,77.8
2210383,São Miguel da Baixa Grande,1884,1844,97.9
2210391,São Miguel do Fidalgo,1750,1404,80.2
2210409,São Miguel do Tapuio,12121,10577,87.3
2210508,São Pedro do Piauí,8900,7861,88.3
2210607,São Raimundo Nonato,27760,25375,91.4
2210623,Sebastião Barros,2219,1882,84.8
2210631,Sebastião Leal,2950,2792,94.6
2210656,Sigefredo Pacheco,6828,5801,85.0
2210706,Simões,9523,8493,89.2
2210805,Simplício Mendes,9313,9264,99.5
2210904,Socorro do Piauí,3276,3278,100
2210938,Sussuapara,3846,3768,98.0
2210953,Tamboril do Piauí,1654,1740,100
2210979,Tanque do Piauí,1851,1856,100
2211001,Teresina,644718,554993,86.1
2211100,União,28218,24428,86.6
2211209,Uruçuí,13218,10805,81.7
2211308,Valença do Piauí,16499,15809,95.8
2211357,Várzea Branca,3865,3638,94.1
2211407,Várzea Grande,3212,2155,67.1
2211506,Vera Mendes,2748,2786,100
2211605,Vila Nova do Piauí,2157,2062,95.6
2211704,Wall Ferraz,3072,2665,86.8
